State Label,State Code,District,Name,Chamber,Party,GEOID
Wisconsin,55,3,"Kind, Ron",Representative,Democratic,5503
Wisconsin,55,8,"Gallagher, Mike",Representative,Republican,5508
California,6,3,"Garamendi, John",Representative,Democratic,603
California,6,40,"Roybal-Allard, Lucille",Representative,Democratic,640
California,6,49,"Issa, Darrell E.",Representative,Republican,649
Colorado,8,0,"Gardner, Cory",Senator,Republican,800
Connecticut,9,0,"Blumenthal, Richard",Senator,Democratic,900
Connecticut,9,2,"Courtney, Joe",Representative,Democratic,902
Georgia,13,3,"Ferguson, Drew",Representative,Republican,1303
Illinois,17,16,"Kinzinger, Adam",Representative,Republican,1716
Iowa,19,0,"Ernst, Joni",Senator,Republican,1900
Maryland,24,3,"Sarbanes, John P.",Representative,Democratic,2403
Maryland,24,8,"Van Hollen, Chris",Representative,Democratic,2408
New Hampshire,33,0,"Hassan, Maggie",Senator,Democratic,3300
New Hampshire,33,0,"Shaheen, Jeanne",Senator,Democratic,3300
New York,36,17,"Lowey, Nita M.",Representative,Democratic,3617
Oregon,41,2,"Walden, Greg",Representative,Republican,4102
Pennsylvania,42,0,"Casey, Robert P., Jr.",Senator,Democratic,4200
Rhode Island,44,1,"Cicilline, David N.",Representative,Democratic,4401
South Dakota,46,0,"Thune, John",Senator,Republican,4600
Tennessee,47,8,"Kustoff, David",Representative,Republican,4708
Texas,48,31,"Carter, John R.",Representative,Republican,4831
Texas,48,30,"Johnson, Eddie Bernice",Representative,Democratic,4830
Virginia,51,6,"Goodlatte, Bob",Representative,Republican,5106
Virginia,51,11,"Connolly, Gerald E.",Representative,Democratic,5111
Virginia,51,7,"Brat, Dave",Representative,Republican,5107
Alabama,1,3,"Rogers, Mike D.",Representative,Republican,103
Arizona,4,0,"McCain, John",Senator,Republican,400
Arkansas,5,0,"Boozman, John",Senator,Republican,500
California,6,0,"Feinstein, Dianne",Senator,Democratic,600
California,6,37,"Bass, Karen",Representative,Democratic,637
Maine,23,0,"King, Angus S., Jr.",Senator,Independent,2300
Maryland,24,2,"Ruppersberger, C. A. Dutch",Representative,Democratic,2402
Michigan,26,9,"Levin, Sander M.",Representative,Democratic,2609
Minnesota,27,0,"Franken, Al",Senator,Democratic,2700
New Jersey,34,6,"Pallone, Frank, Jr.",Representative,Democratic,3406
New York,36,24,"Katko, John",Representative,Republican,3624
North Dakota,38,0,"Hoeven, John",Senator,Republican,3800
Ohio,39,7,"Gibbs, Bob",Representative,Republican,3907
Oregon,41,5,"Schrader, Kurt",Representative,Democratic,4105
Texas,48,24,"Marchant, Kenny",Representative,Republican,4824
Virginia,51,0,"Kaine, Tim",Senator,Democratic,5100
Washington,53,2,"Larsen, Rick",Representative,Democratic,5302
Washington,53,5,"McMorris Rodgers, Cathy",Representative,Republican,5305
,,0,"Davidson, Warren",Representative,,
Arizona,4,2,"McSally, Martha",Representative,Republican,402
Arkansas,5,1,"Crawford, Eric A. &#34;Rick&#34;",Representative,Republican,501
California,6,25,"Knight, Stephen",Representative,Republican,625
Georgia,13,1,"Carter, Earl L. &#34;Buddy&#34;",Representative,Republican,1301
Indiana,18,0,"Young, Todd",Senator,Republican,1800
Kentucky,21,4,"Massie, Thomas",Representative,Republican,2104
Michigan,26,10,"Mitchell, Paul",Representative,Republican,2610
Mississippi,28,3,"Harper, Gregg",Representative,Republican,2803
Missouri,29,4,"Hartzler, Vicky",Representative,Republican,2904
Nevada,32,2,"Amodei, Mark E.",Representative,Republican,3202
New Jersey,34,10,"Payne, Donald M., Jr.",Representative,Democratic,3410
New York,36,26,"Higgins, Brian",Representative,Democratic,3626
Ohio,39,14,"Joyce, David P.",Representative,Republican,3914
Ohio,39,10,"Turner, Michael R.",Representative,Republican,3910
Oklahoma,40,3,"Lucas, Frank D.",Representative,Republican,4003
Pennsylvania,42,4,"Perry, Scott",Representative,Republican,4204
Rhode Island,44,0,"Reed, Jack",Senator,Democratic,4400
Tennessee,47,9,"Cohen, Steve",Representative,Democratic,4709
Texas,48,0,"Cruz, Ted",Senator,Republican,4800
Texas,48,28,"Cuellar, Henry",Representative,Democratic,4828
Texas,48,36,"Babin, Brian",Representative,Republican,4836
Texas,48,0,"Cornyn, John",Senator,Republican,4800
Alabama,1,0,"Shelby, Richard C.",Senator,Republican,100
California,6,44,"Hahn, Janice",Representative,Democratic,644
California,6,33,"Lieu, Ted",Representative,Democratic,633
California,6,34,"Becerra, Xavier",Representative,Democratic,634
California,6,10,"Denham, Jeff",Representative,Republican,610
California,6,53,"Davis, Susan A.",Representative,Democratic,653
California,6,32,"Napolitano, Grace F.",Representative,Democratic,632
Colorado,8,6,"Coffman, Mike",Representative,Republican,806
Connecticut,9,4,"Himes, James A.",Representative,Democratic,904
Florida,12,20,"Hastings, Alcee L.",Representative,Democratic,1220
Florida,12,14,"Castor, Kathy",Representative,Democratic,1214
Florida,12,5,"Lawson, Al",Representative,Democratic,1205
Illinois,17,5,"Quigley, Mike",Representative,Democratic,1705
Louisiana,22,0,"Vitter, David",Senator,Republican,2200
Maryland,24,1,"Harris, Andy",Representative,Republican,2401
Massachusetts,25,7,"Capuano, Michael E.",Representative,Democratic,2507
Massachusetts,25,5,"Clark, Katherine M.",Representative,Democratic,2505
Minnesota,27,5,"Ellison, Keith",Representative,Democratic,2705
Nebraska,31,2,"Bacon, Don",Representative,Republican,3102
Nebraska,31,1,"Fortenberry, Jeff",Representative,Republican,3101
New York,36,20,"Tonko, Paul",Representative,Democratic,3620
New York,36,0,"Gillibrand, Kirsten E.",Senator,Democratic,3600
North Carolina,37,6,"Walker, Mark",Representative,Republican,3706
Pennsylvania,42,14,"Doyle, Michael F.",Representative,Democratic,4214
South Carolina,45,7,"Rice, Tom",Representative,Republican,4507
South Carolina,45,1,"Sanford, Mark",Representative,Republican,4501
Texas,48,35,"Doggett, Lloyd",Representative,Democratic,4835
Texas,48,3,"Johnson, Sam",Representative,Republican,4803
Utah,49,3,"Chaffetz, Jason",Representative,Republican,4903
Virginia,51,3,"Scott, Robert C. &#34;Bobby&#34;",Representative,Democratic,5103
Idaho,16,0,"Risch, James E.",Senator,Republican,1600
Illinois,17,8,"Krishnamoorthi, Raja",Representative,Democratic,1708
Louisiana,22,2,"Richmond, Cedric L.",Representative,Democratic,2202
Michigan,26,0,"Peters, Gary C.",Senator,Democratic,2600
Michigan,26,7,"Walberg, Tim",Representative,Republican,2607
Mississippi,28,0,"Cochran, Thad",Senator,Republican,2800
New Mexico,35,2,"Pearce, Stevan",Representative,Republican,3502
New York,36,12,"Maloney, Carolyn B.",Representative,Democratic,3612
North Carolina,37,7,"Rouzer, David",Representative,Republican,3707
Pennsylvania,42,13,"Boyle, Brendan F.",Representative,Democratic,4213
Pennsylvania,42,1,"Brady, Robert A.",Representative,Democratic,4201
South Carolina,45,0,"Graham, Lindsey",Senator,Republican,4500
South Carolina,45,2,"Wilson, Joe",Representative,Republican,4502
Tennessee,47,1,"Roe, David P.",Representative,Republican,4701
Texas,48,2,"Poe, Ted",Representative,Republican,4802
Texas,48,5,"Hensarling, Jeb",Representative,Republican,4805
Texas,48,29,"Green, Gene",Representative,Democratic,4829
Utah,49,1,"Bishop, Rob",Representative,Republican,4901
Arkansas,5,4,"Westerman, Bruce",Representative,Republican,504
California,6,0,"Harris, Kamala",Senator,Democratic,600
California,6,42,"Calvert, Ken",Representative,Republican,642
Florida,12,23,"Wasserman Schultz, Debbie",Representative,Democratic,1223
Florida,12,26,"Curbelo, Carlos",Representative,Republican,1226
Georgia,13,13,"Scott, David",Representative,Democratic,1313
Louisiana,22,1,"Scalise, Steve",Representative,Republican,2201
Maryland,24,5,"Hoyer, Steny H.",Representative,Democratic,2405
Massachusetts,25,9,"Keating, William R.",Representative,Democratic,2509
Minnesota,27,2,"Kline, John",Representative,Republican,2702
New Jersey,34,0,"Booker, Cory A.",Senator,Democratic,3400
New Jersey,34,0,"Menendez, Robert",Senator,Democratic,3400
New York,36,21,"Stefanik, Elise M.",Representative,Republican,3621
Oregon,41,4,"DeFazio, Peter A.",Representative,Democratic,4104
Tennessee,47,4,"DesJarlais, Scott",Representative,Republican,4704
Texas,48,27,"Farenthold, Blake",Representative,Republican,4827
Virginia,51,4,"McEachin, Donald",Representative,Democratic,5104
Wyoming,56,0,"Barrasso, John",Senator,Republican,5600
,,0,"LaHood, Darin",Representative,,
Alaska,2,0,"Murkowski, Lisa",Senator,Republican,200
Arizona,4,0,"Flake, Jeff",Senator,Republican,400
Delaware,10,0,"Rochester, Lisa Blunt",Representative,Democratic,1000
Florida,12,9,"Soto, Darren",Representative,Democratic,1209
Florida,12,12,"Bilirakis, Gus M.",Representative,Republican,1212
Georgia,13,0,"Perdue, David",Senator,Republican,1300
Illinois,17,0,"Duckworth, Tammy",Senator,Democratic,1700
Indiana,18,7,"Carson, Andre",Representative,Democratic,1807
Kansas,20,0,"Moran, Jerry",Senator,Republican,2000
Louisiana,22,4,"Fleming, John",Representative,Republican,2204
Minnesota,27,1,"Walz, Timothy J.",Representative,Democratic,2701
New Hampshire,33,1,"Shea-Porter, Carol",Representative,Democratic,3301
New York,36,22,"Tenney, Claudia",Representative,Republican,3622
North Carolina,37,5,"Foxx, Virginia",Representative,Republican,3705
North Carolina,37,11,"Meadows, Mark",Representative,Republican,3711
Ohio,39,3,"Beatty, Joyce",Representative,Democratic,3903
Oregon,41,1,"Bonamici, Suzanne",Representative,Democratic,4101
Texas,48,8,"Brady, Kevin",Representative,Republican,4808
Texas,48,6,"Barton, Joe",Representative,Republican,4806
Utah,49,0,"Hatch, Orrin G.",Senator,Republican,4900
Virginia,51,10,"Comstock, Barbara",Representative,Republican,5110
California,6,39,"Royce, Edward R.",Representative,Republican,639
Colorado,8,2,"Polis, Jared",Representative,Democratic,802
Maryland,24,6,"Delaney, John K.",Representative,Democratic,2406
Michigan,26,1,"Bergman, Jack",Representative,Republican,2601
Missouri,29,0,"McCaskill, Claire",Senator,Democratic,2900
Missouri,29,2,"Wagner, Ann",Representative,Republican,2902
New Mexico,35,0,"Udall, Tom",Senator,Democratic,3500
Ohio,39,16,"Renacci, James B.",Representative,Republican,3916
Pennsylvania,42,9,"Shuster, Bill",Representative,Republican,4209
South Carolina,45,3,"Duncan, Jeff",Representative,Republican,4503
South Carolina,45,5,"Mulvaney, Mick",Representative,Republican,4505
Utah,49,4,"Love, Mia B.",Representative,Republican,4904
Washington,53,10,"Heck, Denny",Representative,Democratic,5310
West Virginia,54,0,"Manchin, Joe, III",Senator,Democratic,5400
Arizona,4,5,"Biggs, Andy",Representative,Republican,405
Arizona,4,3,"Grijalva, Raul M.",Representative,Democratic,403
California,6,52,"Peters, Scott H.",Representative,Democratic,652
California,6,26,"Brownley, Julia",Representative,Democratic,626
California,6,4,"McClintock, Tom",Representative,Republican,604
California,6,38,"Sanchez, Linda T.",Representative,Democratic,638
Hawaii,15,2,"Gabbard, Tulsi",Representative,Democratic,1502
Illinois,17,6,"Roskam, Peter J.",Representative,Republican,1706
Iowa,19,3,"Young, David",Representative,Republican,1903
Michigan,26,11,"Trott, David A.",Representative,Republican,2611
Missouri,29,5,"Cleaver, Emanuel",Representative,Democratic,2905
Missouri,29,6,"Graves, Sam",Representative,Republican,2906
New Hampshire,33,2,"Kuster, Ann M.",Representative,Democratic,3302
New Jersey,34,3,"MacArthur, Thomas",Representative,Republican,3403
Northern Mariana Islands,69,0,"Sablan, Gregorio Kilili Camacho",Representative,Democratic,6900
Ohio,39,12,"Tiberi, Patrick J.",Representative,Republican,3912
Oklahoma,40,4,"Cole, Tom",Representative,Republican,4004
Pennsylvania,42,5,"Thompson, Glenn",Representative,Republican,4205
Tennessee,47,6,"Black, Diane",Representative,Republican,4706
Texas,48,34,"Vela, Filemon",Representative,Democratic,4834
Texas,48,21,"Smith, Lamar",Representative,Republican,4821
West Virginia,54,0,"Capito, Shelley Moore",Senator,Republican,5400
Wisconsin,55,5,"Sensenbrenner, F. James, Jr.",Representative,Republican,5505
Arkansas,5,0,"Cotton, Tom",Senator,Republican,500
California,6,13,"Lee, Barbara",Representative,Democratic,613
Hawaii,15,0,"Schatz, Brian",Senator,Democratic,1500
Illinois,17,17,"Bustos, Cheri",Representative,Democratic,1717
Indiana,18,9,"Hollingsworth, Trey",Representative,Republican,1809
Iowa,19,4,"King, Steve",Representative,Republican,1904
Kansas,20,3,"Yoder, Kevin",Representative,Republican,2003
Michigan,26,0,"Stabenow, Debbie",Senator,Democratic,2600
Mississippi,28,4,"Palazzo, Steven M.",Representative,Republican,2804
Nevada,32,3,"Rosen, Jacky",Representative,Democratic,3203
New Jersey,34,4,"Smith, Christopher H.",Representative,Republican,3404
New York,36,3,"Suozzi, Tom",Representative,Democratic,3603
New York,36,11,"Donovan, Daniel M., Jr.",Representative,Republican,3611
Oklahoma,40,1,"Bridenstine, Jim",Representative,Republican,4001
Oregon,41,0,"Merkley, Jeff",Senator,Democratic,4100
South Carolina,45,0,"Scott, Tim",Senator,Republican,4500
Tennessee,47,0,"Corker, Bob",Senator,Republican,4700
Texas,48,17,"Flores, Bill",Representative,Republican,4817
Texas,48,23,"Hurd, Will",Representative,Republican,4823
Vermont,50,0,"Welch, Peter",Representative,Democratic,5000
Virginia,51,5,"Garrett, Tom",Representative,Republican,5105
Alabama,1,6,"Palmer, Gary J.",Representative,Republican,106
California,6,16,"Costa, Jim",Representative,Democratic,616
California,6,12,"Pelosi, Nancy",Representative,Democratic,612
California,6,21,"Valadao, David G.",Representative,Republican,621
Colorado,8,1,"DeGette, Diana",Representative,Democratic,801
Florida,12,8,"Posey, Bill",Representative,Republican,1208
Georgia,13,14,"Graves, Tom",Representative,Republican,1314
Illinois,17,9,"Schakowsky, Janice D.",Representative,Democratic,1709
Massachusetts,25,3,"Tsongas, Niki",Representative,Democratic,2503
New York,36,2,"King, Peter T.",Representative,Republican,3602
New York,36,25,"Slaughter, Louise McIntosh",Representative,Democratic,3625
Pennsylvania,42,2,"Evans, Dwight",Representative,Democratic,4202
Pennsylvania,42,17,"Cartwright, Matt",Representative,Democratic,4217
Rhode Island,44,2,"Langevin, James R.",Representative,Democratic,4402
Texas,48,22,"Olson, Pete",Representative,Republican,4822
Washington,53,1,"DelBene, Suzan K.",Representative,Democratic,5301
Wisconsin,55,0,"Baldwin, Tammy",Senator,Democratic,5500
Alabama,1,1,"Byrne, Bradley",Representative,Republican,101
California,6,30,"Sherman, Brad",Representative,Democratic,630
District of Columbia,11,0,"Norton, Eleanor Holmes",Representative,Democratic,1100
Florida,12,22,"Frankel, Lois",Representative,Democratic,1222
Kansas,20,4,"Pompeo, Mike",Representative,Republican,2004
Michigan,26,13,"Conyers, John, Jr.",Representative,Democratic,2613
Michigan,26,14,"Lawrence, Brenda L.",Representative,Democratic,2614
Mississippi,28,0,"Wicker, Roger F.",Senator,Republican,2800
